manufacturer,model,Price,Year,Hand,Gear,capacity_Engine,Engine_type,Km,Color,Prev_ownership,Curr_ownership,Area,City,Cre_date,Repub_date,Description,Pic_num,Test
פולקסווגן,גולף,37000.0,2013,3,אוטומטית,1400,בנזין,159000,כחול מטאלי,פרטית,פרטית,ירושלים והסביבה,ירושלים,2024-03-17,2024-03-31,הדור החדש טיפול גדול חדש ומצבר חדש  המנוע המוצלח ומבוקש טסט שנה,4,274
פולקסווגן,פולו,75000.0,2016,4,אוטומטית,1800,בנזין,107000,לבן,פרטית,פרטית,גליל ועמקים,נצרת,2024-03-15,2024-03-15,תוספות Polo gti 2016 יד 04  מנוע 1800 הכי מוצלח ו אמין כ’׳ס 192  אוטו שמור עבר טיפול גדול לפני 2000ק’׳מ  ללא שיפורים נסע רק 106700 נהג יחיד ללא תאונות ו ללא תיקונים צבע מי שיבוא ראשון זוכה,3,59
פולקסווגן,ג'טה,45000.0,2016,1,אוטומטית,1200,בנזין,170000,כחול,פרטית,פרטית,חולון - בת ים,בת ים,2023-09-10,2024-03-11,שמורה היטב ללא תאונות מטופלת,4,
פולקסווגן,ג'טה,29000.0,2012,2,אוטומטית,1400,בנזין,225000,שחור,פרטית,פרטית,חיפה וחוף הכרמל,אום אל פחם,2023-12-10,2023-12-11,N/A,3,151
פולקסווגן,פולו,35000.0,2014,2,ידנית,1200,בנזין,120000,אפור מטאלי,פרטית,פרטית,תל אביב,תל אביב יפו,2023-07-01,2023-08-29,"פולקסווגן פולו שנת 2014 תיבת הילוכים ידנית יד שנייה נסעה 120,000 ק”מ נהג יחיד מטופלת לפי הספר במוסך של החברה (צ’אמפיון)",4,
פולקסווגן,פאסאט,26000.0,2012,2,טיפטרוניק,1800,בנזין,200,שחור,ליסינג,פרטית,באר שבע והסביבה,באר שבע,2023-06-17,2023-06-17,רכב מנהלי חזק נוסע חלק רכב מפנק,1,
פולקסווגן,גולף GTI,168000.0,2019,2,אוטומטית,2000,בנזין,58000,שחור,פרטית,פרטית,קריות,קרית ביאליק,2023-06-08,2023-06-08,"רכב מקורי ללא שיפורים, טופל ביבואן.",10,
פולקסווגן,שירוקו,55000.0,2012,6,ידנית,1400,בנזין,139000,כסוף,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,2023-03-17,2023-03-17,למכירה רכב במצב מצוין! שירוקו 2012  אחרי טיפול גדול ידני 160 כ״ס  139 ק״מ  2 אגזוזים צנרת מלאה עם שלט משתיק ג׳אנטים עם צמיגי ספורט פורק לחץ  מערכת שמע קיט R שלם + ספויילר  הגה בתפירה אישית  אחרי ניקוי ריפודים מקצועי רכב שמור ומטופל בזמן כמו שעון. אוטו הצגה הקודם זוכה!,2,
פולקסווגן,גולף,65500.0,2017,2,אוטומטית,1400,בנזין,18000,שחור,פרטית,פרטית,N/A,באקה,2023-02-02,2023-02-02,אוטו שמור מאוד מצב מעולה,5,
פולקסווגן,פאסאט,72000.0,2015,2,אוטומטית,1800,בנזין,141000,כחול כהה מטאלי,פרטית,פרטית,באר שבע והסביבה,דימונה,2022-12-18,2022-12-20,רכב במצב חדש מתחייב על הכל בבדיקה,4,
פולקסווגן,פולו,68000.0,2017,3,אוטומטית,1200,בנזין,101000,לבן,פרטית,פרטית,גליל ועמקים,בית שאן,2022-11-28,2022-11-30,"פולו דגם comfortline מנוע 1.2 הדגם המפואר עם גג פנורמי  הרכב יד 3 עבר יד במשפחה ק״מ 101,000  רכב שמור ומטופל",5,
פולקסווגן,פולו,25000.0,2012,3,ידנית,1400,בנזין,255000,שחור,פרטית,פרטית,גליל ועמקים,נצרת,2022-11-26,2022-11-26,N/A,5,
פולקסווגן,גולף,66000.0,2016,3,אוטומטית,1400,בנזין,94000,לבן שנהב,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,2022-11-02,2022-11-02,"פולקסווגן גולף 1.4 יד 02 ברישיון  אחרי טיפול(כולל החלפת משאבת מים, רפידות וצלחות חדשות)  94000 קילומטרים שמורה מאוד נמכרת עקב שדרוג  גמיש במחיר",1,
פולקסווגן,ג`טה,28000.0,2012,2,אוטומטית,1400,בנזין,,N/A,,,בית שמש והסביבה,בית שמש,2022-11-01,2022-11-01,"מנוע מייבוא &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימדיה שליטה מההגה, וו גרירה",1,
פולקסווגן,ג`טה,33000.0,2014,3,אוטומטית,1200,בנזין,175000,N/A,,,באר שבע והסביבה,אופקים,2022-10-25,2022-10-25,לרכב שני צמיגים אחורים חדשים מצבר חדש נמכר עקב רכב מעבודה שמורה גמיש במעמד הקניה,1,
פולקסווגן,ג`טה,29900.0,2012,3,אוטומטית,1200,בנזין,140000,N/A,,,בקעת אונו,גני תקווה,2022-10-25,2022-10-25,"ג'טה 2012 האוטו שמור פנימי חיצוני בקפדנות יצא מטיפול במוסך פולקסווגן בסכום של 5000 ש""ח  הוחלפו שמנים פילטרים בולמים ( יש קבלות על כל עברו של הרכב) ונמכר  עקב קניית רכב חדש ( גמיש במחיר)",1,
פולקסווגן,פולו,33000.0,2013,1,אוטומטית,1390,בנזין,98000,N/A,,,חיפה וחוף הכרמל,חיפה,2022-10-21,2022-10-21,"רכב פרטי יד ראשונה שמור במצב מצוין. ק""מ נמוך פחות מ 10 אלף לשנה. צבע אורגינאלי טסט חצי שנה. מטופל במוסך מורשה. ללא תאונה וללא פחת ברכב",1,
